map_name,map_type,region,ebook_volume,ebook_page,bearing_at_centre_deg,has_central_line,has_elen_current,has_belinus_current,n_nodes,n_central_vertices,n_elen_vertices,n_belinus_vertices,notes
IOW_Detail_Bloodstone,node_detail,Southern England,1,838,345.5,TRUE,TRUE,TRUE,5,0,4,2,"Node detail map centred on Bloodstone Spring. Central line is shown (black) passing near Bloodstone Spring to Ashey. Elen current (purple) passes through Bloodstone Spring, Brading Down, Nunwell House, Devil's Punchbowl, Brading Church. Belinus current (gold) passes through Brading Roman Villa, Adgestone Vineyard, Devil's Punchbowl, then northeast towards Ryde. Devil's Punchbowl is the meeting point of the two currents."
IOW_Overview,region_overview,Southern England,1,839,345.5,TRUE,TRUE,TRUE,23,6,7,11,"Region overview map of the Isle of Wight. Approximated central line traced from eBook map; vertices every 200–500m; Central line passes through Battery Gardens, Christ Church, St Patrick's Church, Bloodstone Spring (within 250 m), East Ashey Earthworks (within 250 m), Kemphill (within 250 m). Elen current (purple) passes through Culver Down, Bembridge Fort, Centurion's Copse, Brading, Devil's Punchbowl (meeting point), Nunwell House, Bloodstone Spring, East Ashey Earthworks, Ashey, Ruin (medieval abbey ruins), Quarr Abbey. Belinus current (gold) passes through Yaverland, Brading Roman Fort, Devil's Punchbowl (meeting point), Swanmore, Ryde, Binstead. The two currents meet at Devil's Punchbowl."
